ratings,title,content,company,review_website
1,TERRIBLE COMPANY!,"TERRIBLE COMPANY!! Please stay away and use a different company to drop ship with or find a new product to sell. Their platform is dated and feels like its from 2002. They have a ""chat with us"" box and its a bot and when you want to talk to someone it takes 24 hours to get a response (each time).They spam your email even when you click unsubscribe.They make you pay for a plan and then dont offer the services the plan says (they said they give you a list of the top trending and selling products, only to sign up and find out they no longer offer that)They will spam your email some more, and you will unsubscribe again.The products prices sometimes will set to 0 so you don't know what you pay for it.You can't find out what you pay for shipping easily, you have to back door your way through to find the product on alibaba again and check shippingDid I mention they wont stop spamming your email, no matter how many times you unsubscribe.I can't wait for the class action lawsuit against this company. I will be signing up and taking my cut back.Also if someone does reply to this from the company, the only thing I want is the personal email address of the CEO so I can spam their email like they spam mine.",Oberlo,Trustpilot
3,"It's a great idea, but...","It's a great idea, but they don't order the products for you automatically — you still have to do it yourself. Also, if you have a problem, it takes them at least 24 hours to get back to you on the 'live' chat. Absolutely useless if you have a customer breathing down your neck.",Oberlo,Trustpilot
1,Impossible to unsubscribe from email spam,"I recently closed my Shopify account and removed oberlo from it - I am continuously getting emails from Caitlyn@oberlo despite clicking unsubscribe multiple times, emailing them direct to have me removed from their mail list - yet I’m continuously getting their spam...their unsubscribe/profile portal is a complete waste of time and no settings ever update - this is one part of a product that grinds my gears that you cannot willingly unsubscribe from company spam after you have ended the use of their product! Oberlo if you want to rectify this issue - please reply! And I will consider altering the review accordingly since no one bothered to reply when emailing the relevant support addresses!",Oberlo,Trustpilot
1,It takes too long to deliver to the…,"It takes too long to deliver to the Philippines. No one will wait the 30-60 days fulfilment,",Oberlo,Trustpilot
1,another worthless website,"Yet another worthless website that charges you a monthly fee and provides nothing more than Chinese garbage. I personally am not willing to sell Chinese garbage and then deal with returns left and right. I am further convinced that drop shipping is a complete scam to begin with after spending literally 40 hours out of the last 72 hours trying get started and searching hundreds of ""Suppliers""Before you even respond with some BS about how drop shipping is really profitable and customers wont mind waiting 30 days for an item to come from China: No, its not. I gave upAliExpress is a chinese version of eBay. Who are you fooling",Oberlo,Trustpilot
1,no one is going to wait 30 days for an…,no one is going to wait 30 days for an item to be delivered yet alone one thats not exactly top quality when quicker delivery methods and suppliers are readily avaliable within the uk....why divert to china or usa,Oberlo,Trustpilot
1,The app has a lot of bugs and issues,"The app has a lot of bugs and issues. When I make orders, many of them don't fulfill so I have to manually enter in the address. I got this app to save time on fulfillment but it doesn't save me much. Customer service gives me the same copy and paste answers whenever I reach out for help.",Oberlo,Trustpilot
2,im finding the chat service way way too…,im finding the chat service way way too slow it this is my main complaint i have only started using the app but i havnt had an order without a problem on shopify yet which is a bit worrying if  I start to sell a lotI am going to keep trying but im not sure for how long!!!,Oberlo,Trustpilot
1,Oberlo: A Scam With A Smile,"Oberlo is attractive to new ""want to be"" drop shippers because they prey on newcomers in a fashion that goes against the integrity of good business ethics. Imagine trying to establish a good reputation with customers who have to wait 40 days for their paid for product to arrive. Oberlo's instructional material is saturated with video and written statements directed toward new Shopify store owners that try to convince them that their customers won't be turned off as long as you warn them ahead of time. So, imagine trying to attract customers and building a great store reputation by stating in your product ads, ""Due to popularity of this item, it will take between 30-40 days for you to receive it."" Wouldn't that just make you feel like you MUST buy it? Jokers. I mean, really, you wouldn't even think of ordering it on Amazon where you're assured of receiving it in three days, would you? Oberlo's software works just fine. It's their integrity that doesn't exist. Zero stars. I didn't see that option.Regarding  your  response below: nothing you stated warrants a reply. However, buyer beware. Major scam. Oberlo was put in place for vulnerable newbees to develop a relationship with Shopify. $29.90 per month is a ripoff. Find better choices.",Oberlo,Trustpilot
4,Not bad,Not bad. But I prefer to use other services,Oberlo,Trustpilot
1,Warning,Warning! Ali Express products...Made in China...  C. E. O  ? North Africa...  Enterprise's country? Lithuania...Scam.,Oberlo,Trustpilot
4,Not good for my experiencess but better…,Not good for my experiencess but better then Aliexpress,Oberlo,Trustpilot
3,I really wish them to start working…,I really wish them to start working with serious providers other than Aliexpress. Those days it's impossible to deal with Ali suppliers which keep scamming.,Oberlo,Trustpilot
1,very bad import app,"very bad import app , not recommendd guy seriously they always give this error without any clue Unfortunately, this product does not comply with Oberlo’s Terms of Service. Please find another product to sell.\dont use oberlo ever",Oberlo,Trustpilot
3,NCOV Virus widespread,Is it advisable to open up a shopify store these days while oberlo delivers items from China? Im referring to NCOV widespread. What is oberlo and aliexpress doing about this concern?Is there any assurance that the items that clients receive will  not be virus carriers? Or this will be the end of this drop shipping business?,Oberlo,Trustpilot
5,I give 5 stars,I give 5 stars. Oberlo is very cleverly invented.This is new lifestyle who possibility for anyone who want to start new business.I want to say thanks to the developer  that give best  ideas.,Oberlo,Trustpilot
1,"No Documentation, No Proper Support - Ridiculous!!!","#1. The worst support in the world. No attention to detail. Do not bother answering all questions in the support tickets.#2. Response to support tickets is WAY out of proportion. Takes more than a day to hear anything back. No urgency. They do not care.#3. Complete lack of documentation. There no supporting document and I am not talking about videos, that will walk you through the process.For example - extremely difficult to configure filters in the collection and there not a single document out there that describes how to do that. If you don't believe me, Google ""Porto Filters Configuration Shopify"" - you will not find a single resource that will guide you through the process!!! This is ridiculous!",Oberlo,Trustpilot
3,The free version should have more…,The free version should have more features.,Oberlo,Trustpilot
4,This is the perfect site for newbies to online,This is the perfect site for those who are starting their online business. I love how it is easy to upload products and manage its description and price. Everything is so easy to manage and monitor the products.,Oberlo,Trustpilot
5,Works great,"Works great, never had a problem",Oberlo,Trustpilot
1,I bought a store that used the oberlo…,"I bought a store that used the oberlo basic app. Because I was just starting out i changed the plan to the starter plan, which is supposed to be free. Well, it was not. For 10 months they have been charging me for the basic plan. I contacted them and told them there must be a mistake, i have had the free plan since i Bought the store. they are very good liars however and managed to gaslight me and are saying that their records are different. I havent seen these records. They are just frauds. THey refuse to refund these fraudulent charges .",Oberlo,Trustpilot
1,We are extremely disappointed with…,"We are extremely disappointed with their chat service, we were waiting since about 2 hours to get a problem solved but unfortunately no success!Initially after 30 minutes we've got a chance to chat to Iveta, before we finish, she suddenly left without giving any sign, then we started a new chat with Kamila also after about 30 minutes, she did the same thing! then we get back to Iveta as it shows that she is online again assuming that there might be a technical problem and tried to continue the discussion to solve an unfulfilled order since 6 days, but also no response.Please note that we are taking our business very seriously, giving it the highest priority, and expecting from you the same, if not then we will try to find another solution including lawsuit.Since 12:42 till 15:12 this moment no response",Oberlo,Trustpilot
1,As so many of the other reviewers have…,"As so many of the other reviewers have pointed out...You have no exclusivity.The products are low quality.It costs money to properly market your store.Shopify bills you regardless of your success.Oberlo may not be a scam, but its definitely not a good idea. A few of their success stories have been debunked to be fabricated.Making money with E-Commerce is hard. Don't be impulsive. Wait for the right thing to come along. Something you had a hard time finding or wish for. Dropshippnig cheap products creates no value at the end of the day. Wait for something that you can create value with.",Oberlo,Trustpilot
4,I wonder why would somebody buy from my…,I wonder why would somebody buy from my dropshipping store which would take too long to deliver a product compared to a customer going directly on ali express.,Oberlo,Trustpilot
1,Shopify + Oberlo = Definite scam,"Oberlo is a scam.  Plain and simple.  Dropshipping on Shopify is a scam.  If you look at the total orders placed for items on Oberlo, I estimate 99% have zero orders.  No sales.  Every item has thousands of store imports.  (This means someone is trying to sell it on their own store.)  There are a few items that take off, but the competition is stiff and if you do the math for overall sales, they’re just, at most, a few hundred thousand dollars in orders.This sounds great until you divide that cost by the amount of stores selling those items that sell well, and find out on average you may make a $100 dollars tops.Shopify and Oberlo charge you per month (at a minimum), don’t aid you with advertising, and you’re barely likely to turn over $50 dollars in a month dropshipping while your costs before advertising can be $25-$100+ dollars at a minimum.  We haven’t even talked advertising yet.  To test a product with Google ads, common wisdom is to be ready to invest $1000 dollars PER PRODUCT; testing to see if ithe product will sell well with your specific audience set.  Facebook ads is quite cheaper, but not a lot, however, you have to deal with their inaccurate impressions estimates, and draconian ad review process.  This is the dark little secret of the “dropshipping”E-commerce model.  You have to invest thousands of dollars in ad revenue.  Even if you have the money to invest, do you really want to bet your money on a low quality product being dropshipped from China? Shopify dropshipping is a scam and Shopify wants to collect fees from you, while you think it is your own fault that your store isn’t taking off, but really it’s because Shopify and Oberlo dropshipping is an ecommerce model that does not work.  Avoid at all costs!",Oberlo,Trustpilot
2,The concept itself is a modern take of…,"The concept itself is a modern take of the old dropshipping catalogue sales model. I set up a shop after browsing through some of the products. As I built my shop on shopify and began populating my product portfolio and ofc.closely following the oberlo way of marketing, writing articles etc... and ofc. creating a digital marketing plan my store went live on eBay and on the web. After a couple of months I decided to take it down. I noticed more and more of the similar products being offered on instagram (every 4th post) so I took down my site thinking of focusing on yet another niche until that too was all over instagram. A couple hundred bucks and lots of hours later I decided I needed to rethink my business.Why? well Aliexpress and Oberlo have become so popular it is a very competitive arena. The only true success comes from direct advertising on social media, click rates are very low and expensive.  The products are mostly chinese knock offs and some never heard of junk. T-shirts claiming to be from Jimmy Buffet and others are not official and have spelling mistakes. The risk reward to too great as one has to prepay for all orders and hope the chinese provider delivers and can communicate. My thoughts... this type of model can succeed but needs to be worked on in order to become the go to dropship store model.",Oberlo,Trustpilot
2,I give them two stars because the…,I give them two stars because the prices are way to high I sell watches and a watch from them it says $1100 for a Garmin watch and my customers are buying it from Gramin direct for $399.00 so my customers are not returning to my store anymore. Yes the app works but when every other online store sells it for $700.00 less then you can well do the math.,Oberlo,Trustpilot
1,No chance of profit. far too expensive!,"Crap, just a rip off over charging... absolutely no chance of a profit!!I will be canceling the app after the first month! all too expensive!!",Oberlo,Trustpilot
1,More and more features are working less…,"More and more features are working less and less. Tech support virtually does not exist. Once you add products to your store you cannot access the suppliers or source pages. Which means you're locked out of updating any products or making changes. None of the links to suppliers currently work. I made Oberlo tech support aware of this several time, eventually, I just gave up, and now even fewer functions work. To me, it seems like some kind of juvenile punishment for speaking out and leaving dissatisfied reviews. I'm not going to shut up - instead of being professional and fixing the functions and actually providing quality customer service - things only become worse, and they expect me to shut up!?! This is my business and I lose money when I cannot access products in my store. The thought of retaining customers and store owners apparently does not occur to Oberlo since there is always another eager and naive person falling for Oberlo's fantasy business format only to realize after spending a bunch of their money and time - Oberlo is only interested in supporting and growing Oberlo's business - the unsuspecting store owner is not apart of that business model so most of us end up closing our stores in order to avoid bankruptcy.It's a win for Oberlo everytime someone starts a store and a slow failure for the store owner. Beware - do your research on how many stores actually close because of these and other slash and burn tactics. This is a slash-and-burn business model! With the store owners slashed and burned while Oberlo/Shopify make quick money then move on to the next eager to start an eCommerce store victim.",Oberlo,Trustpilot
1,Very Ordinary Oberlo and their suppliers.,"I closed my Shopify store after 4 months of failure from oberlo suppliers. I placed 3 test orders to check quality and delivery times and these were my findings:1st product - backpack from an oberlo supplier called Worthfind: product got delivered to to wrong country. Went to Austria instead of Australia. I received an apology and a refund.I gave them the benefit of the doubt so i decided to give them another try:2nd product - same backpack from Worthfind: this time it got delivered correctly and even came earlier than expected. However, quality was average, there was chinese labelling everywhere and didnt look like a $50 bag that i was charging (in order to make a small $20 profit)3rd product - another backpack this time from a different supplier (ironbotot or something like that). Ordered on the same day as product 2, but no sign of delivery yet. Been nearly 30 days. One product arrived, thr other hasnt. Summary: completely unreliable, unpredictable, delivery times unacceptably long, no guarantees on quality and packaging is dissapointing.I closed my store because i cant put my name to such shoddy and unpredictable products and services. And be forced to sell at high prices because oberlo products aren't exactly cheap tp begin with.",Oberlo,Trustpilot
1,***continued from previous post***,"***continued from previous post***Sure you can read Oberlo articles discussing how successful Oberlo users found success through quirky means and social media influencer marketing but the reality is, direct advertising will account for the majority of your sales and it is honestly the only reliable way to create a revenue stream using Oberlo products (if you can make it that far).- Supplier & Customer Relations -There are many suppliers in the Oberlo network that have poor/shady business practices or are completely unreliable altogether. That’s probably why Oberlo introduced the “Verified Supplier” badge to select suppliers that met their criteria. Despite this though, problems with suppliers translate into problems for your customers, which then translates into problems for you.Perhaps one of the most common issues you’ll hear from Oberlo merchants is that they literally can’t get a hold of their supplier. Their customer’s order is missing, late or damaged and you can’t speak with your supplier to understand what the hell happened. What does this mean? You as the merchant have to eat any losses that come as a result of any fault of your supplier. If your supplier sends the wrong product, a damaged product or a cheap product and your customer wants a refund - that is all on you. Your suppliers will ultimately reflect back to you the QUALITY OF YOUR BUSINESS and your customers will see that clearly. As a dropshipper using Oberlo, you are essentially at the mercy of the suppliers. You will only be able to communicate with your customer as often as your supplier is able to communicate with you. Obviously if you can’t reach your supplier, then you’re pretty much screwed. Also keep in mind the language barrier between Chinese manufactures and English-speaking merchants. It is often difficult to communicate with suppliers as a result and can leave room for plenty of misunderstandings and miscommunication.At the end of the day, your ecommerce business is only as good as it’s suppliers. It is without a doubt, a make or break point for your enterprise. - The Fulfillment Process -From a technical standpoint, the fulfillment process using Oberlo is straightforward, mostly automatic and pretty user-friendly. Honestly though, that means nothing when it comes down to accepting payment from your customers and getting their product shipped out to them in a timely manner.First of all when a customer buys a product on your store, the funds will typically go into your Shopify account (or whatever connected merchant tool you have - i.e. Shopify Payments, PayPal etc.). Then what you’ll need to do is head over to Oberlo to fulfill the order. If you are using Oberlo’s own fulfillment service this process is a little easier and less complicated than Aliexpress. If you have the Oberlo extension in your web browser, it will automatically fill in most of the required information based on the information your customer provided.Once the information is filled in, you will need to PAY FOR THE PRODUCT your customer ordered and have it shipped out to them. So you may not have known this at first, but you will need some working capital to get started with Oberlo dropshipping. Just because a customer made a purchase on your store, doesn’t mean those same funds will instantly cover the purchasing and shipping costs from the supplier. You will need to front the money to pay for your customers purchase and then recover those funds by withdrawing from your Shopify account into your bank or whatever you use. Keep in mind your payouts are not instant but rather at set points throughout the month. You will need to factor this in when budgeting your cash flow and expenses. Fulfillment by Oberlo is generally hassle-free in terms of actually placing the order (shipping times, product quality etc. are the headaches that come after that). If you’re selling Aliexpress products however and have to fill orders using them, buckle up.The Oberlo web browser extension will still automatically fill in the order information for you once you log into your Aliexpress account however, you are now working outside Oberlo which means any issues that arise means you’ll have to deal with Aliexpress for assistance.Here’s the thing Oberlo doesn’t tell you when you fulfill using Aliexpress: Aliexpress does not recognize you as a merchant. They recognize you as a consumer.This can cause of a wealth of problems when you are trying to fulfill your orders through them. The first is that they have a ton of automatic security measures in place to prevent fraudulent activity so if you have to suddenly make several purchases after no account activity through Aliexpress at once or are one day shipping your purchase to the UK and the next to Brazil, your account can be automatically flagged which means you won’t be able to complete your purchase. This is always great when your customer has already paid you and is awaiting their product to be shipped. Well let the fun begin because you can’t even buy this product now, let alone get it shipped, until you resolve things with Aliexpress.Basically this entails that you contact their customer service department, explain you are using Oberlo blah blah blah. Eventually they should get back to you. They will likely require proof of your ID and credit card, which you will have to submit to them in order to use your Aliexpress account again. Once you finally get verified and your account becomes active again (sometimes a several week long process), you can finally ship out your product to your customer. So now on top of the ridiculous wait time they already had, you can now add 1-3 more weeks depending on how quickly your Aliexpress account was recovered. Something else to keep in mind is that because this is an automatic process in terms of your Aliexpress account getting flagged, this CAN BE A RECURRING PROBLEM where your account may get locked out again. In my last days using Oberlo, I stopped using Aliexpress altogether. I had to refund more than half of all my customers orders because of delayed shipping times as a result of my Aliexpress account getting flagged for purchases.- CONCLUSION - So at the end of the day, Oberlo in my opinion is a fleeting dream. It may be possible to find success with this platform but it will not come to the majority of users. The most successful Oberlo users are already established and selling. It’s probably going to be too late to get in on selling hot items like watches, sunglasses or artwork, that made these Oberlo users successful, as most of your target audience has been bombarded with these ads already. To have success using Oberlo in my opinion at this point in time you’d need the following:A niche market mostly untouched by other Oberlo usersPlenty of working capital to get started ($5000+)A refined and highly detailed marketing planVerified suppliers using only Oberlo fulfillmentTest/purchase all the products you want to sell beforehand to inspect quality/shipping timesOtherworldly ambitionA decent amount of luck I wish I had all the information I’ve provided you when I started. I would’ve saved thousands. Hopefully this information will be useful to you if you are just getting started. If you can find a way to overcome the barriers I’ve discussed using Oberlo, best of luck. Ultimately though, I do not recommend this platform. It is unfortunately just not a viable means of starting an ecommerce business. It does not provide the tools for success. My advice = look for something else.",Oberlo,Trustpilot
