InvoiceNo,StockCode,Description,Quantity,InvoiceDate,UnitPrice,CustomerID,Country,Amount
536370,22728,ALARM CLOCK BAKELIKE PINK,24,12/1/2010 8:45,3.75,12583,France,90
536370,22727,ALARM CLOCK BAKELIKE RED ,24,12/1/2010 8:45,3.75,12583,France,90
536370,22726,ALARM CLOCK BAKELIKE GREEN,12,12/1/2010 8:45,3.75,12583,France,45
536370,21724,PANDA AND BUNNIES STICKER SHEET,12,12/1/2010 8:45,0.85,12583,France,10.2
536370,21883,STARS GIFT TAPE ,24,12/1/2010 8:45,0.65,12583,France,15.6
536370,10002,INFLATABLE POLITICAL GLOBE ,48,12/1/2010 8:45,0.85,12583,France,40.8
536370,21791,VINTAGE HEADS AND TAILS CARD GAME ,24,12/1/2010 8:45,1.25,12583,France,30
536370,21035,SET/2 RED RETROSPOT TEA TOWELS ,18,12/1/2010 8:45,2.95,12583,France,53.1
536370,22326,ROUND SNACK BOXES SET OF4 WOODLAND ,24,12/1/2010 8:45,2.95,12583,France,70.8
536370,22629,SPACEBOY LUNCH BOX ,24,12/1/2010 8:45,1.95,12583,France,46.8
536370,22659,LUNCH BOX I LOVE LONDON,24,12/1/2010 8:45,1.95,12583,France,46.8
536370,22631,CIRCUS PARADE LUNCH BOX ,24,12/1/2010 8:45,1.95,12583,France,46.8
536370,22661,CHARLOTTE BAG DOLLY GIRL DESIGN,20,12/1/2010 8:45,0.85,12583,France,17
536370,21731,RED TOADSTOOL LED NIGHT LIGHT,24,12/1/2010 8:45,1.65,12583,France,39.6
536370,22900, SET 2 TEA TOWELS I LOVE LONDON ,24,12/1/2010 8:45,2.95,12583,France,70.8
536370,21913,VINTAGE SEASIDE JIGSAW PUZZLES,12,12/1/2010 8:45,3.75,12583,France,45
536370,22540,MINI JIGSAW CIRCUS PARADE ,24,12/1/2010 8:45,0.42,12583,France,10.08
536370,22544,MINI JIGSAW SPACEBOY,24,12/1/2010 8:45,0.42,12583,France,10.08
536370,22492,MINI PAINT SET VINTAGE ,36,12/1/2010 8:45,0.65,12583,France,23.4
536370,POST,POSTAGE,3,12/1/2010 8:45,18,12583,France,54
536852,22549,PICTURE DOMINOES,12,12/3/2010 9:51,1.45,12686,France,17.4
536852,22544,MINI JIGSAW SPACEBOY,24,12/3/2010 9:51,0.42,12686,France,10.08
536852,22539,MINI JIGSAW DOLLY GIRL,24,12/3/2010 9:51,0.42,12686,France,10.08
536852,22661,CHARLOTTE BAG DOLLY GIRL DESIGN,10,12/3/2010 9:51,0.85,12686,France,8.5
536852,21791,VINTAGE HEADS AND TAILS CARD GAME ,12,12/3/2010 9:51,1.25,12686,France,15
536852,21786,POLKADOT RAIN HAT ,24,12/3/2010 9:51,0.42,12686,France,10.08
536852,POST,POSTAGE,1,12/3/2010 9:51,18,12686,France,18
536974,15056BL,EDWARDIAN PARASOL BLACK,9,12/3/2010 13:59,5.95,12682,France,53.55
536974,15056P,EDWARDIAN PARASOL PINK,3,12/3/2010 13:59,5.95,12682,France,17.85
536974,20679,EDWARDIAN PARASOL RED,6,12/3/2010 13:59,5.95,12682,France,35.7
536974,21915,RED  HARMONICA IN BOX ,12,12/3/2010 13:59,1.25,12682,France,15
536974,22659,LUNCH BOX I LOVE LONDON,12,12/3/2010 13:59,1.95,12682,France,23.4
536974,22352,LUNCH BOX WITH CUTLERY RETROSPOT ,12,12/3/2010 13:59,2.55,12682,France,30.6
536974,22892,SET OF SALT AND PEPPER TOADSTOOLS,12,12/3/2010 13:59,1.25,12682,France,15
536974,22027,TEA PARTY BIRTHDAY CARD,12,12/3/2010 13:59,0.42,12682,France,5.04
536974,20749,ASSORTED COLOUR MINI CASES,2,12/3/2010 13:59,7.95,12682,France,15.9
536974,20750,RED RETROSPOT MINI CASES,2,12/3/2010 13:59,7.95,12682,France,15.9
536974,21700,BIG DOUGHNUT FRIDGE MAGNETS,12,12/3/2010 13:59,0.85,12682,France,10.2
536974,22748,POPPY'S PLAYHOUSE KITCHEN,6,12/3/2010 13:59,2.1,12682,France,12.6
536974,22080,RIBBON REEL POLKADOTS ,10,12/3/2010 13:59,1.65,12682,France,16.5
536974,20725,LUNCH BAG RED RETROSPOT,10,12/3/2010 13:59,1.65,12682,France,16.5
536974,20726,LUNCH BAG WOODLAND,10,12/3/2010 13:59,1.65,12682,France,16.5
536974,POST,POSTAGE,2,12/3/2010 13:59,18,12682,France,36
537065,22837,HOT WATER BOTTLE BABUSHKA ,8,12/5/2010 11:57,4.65,12567,France,37.2
537065,22846,BREAD BIN DINER STYLE RED ,1,12/5/2010 11:57,16.95,12567,France,16.95
537065,22892,SET OF SALT AND PEPPER TOADSTOOLS,12,12/5/2010 11:57,1.25,12567,France,15
537065,22968,ROSE COTTAGE KEEPSAKE BOX ,8,12/5/2010 11:57,8.5,12567,France,68
537065,84678,CLASSICAL ROSE SMALL VASE,6,12/5/2010 11:57,2.55,12567,France,15.3
537065,20665,RED RETROSPOT PURSE ,6,12/5/2010 11:57,2.95,12567,France,17.7
537065,21786,POLKADOT RAIN HAT ,24,12/5/2010 11:57,0.42,12567,France,10.08
537065,21787,RAIN PONCHO RETROSPOT,24,12/5/2010 11:57,0.85,12567,France,20.4
537065,20750,RED RETROSPOT MINI CASES,6,12/5/2010 11:57,7.95,12567,France,47.7
537065,20749,ASSORTED COLOUR MINI CASES,2,12/5/2010 11:57,7.95,12567,France,15.9
537065,21774,DECORATIVE CATS BATHROOM BOTTLE,12,12/5/2010 11:57,1.25,12567,France,15
537065,21121,SET/10 RED POLKADOT PARTY CANDLES,24,12/5/2010 11:57,1.25,12567,France,30
537065,21439,BASKET OF TOADSTOOLS,12,12/5/2010 11:57,1.25,12567,France,15
537065,47566,PARTY BUNTING,5,12/5/2010 11:57,4.65,12567,France,23.25
537065,22727,ALARM CLOCK BAKELIKE RED ,4,12/5/2010 11:57,3.75,12567,France,15
537065,22726,ALARM CLOCK BAKELIKE GREEN,4,12/5/2010 11:57,3.75,12567,France,15
537065,22728,ALARM CLOCK BAKELIKE PINK,4,12/5/2010 11:57,3.75,12567,France,15
537065,22729,ALARM CLOCK BAKELIKE ORANGE,4,12/5/2010 11:57,3.75,12567,France,15
537065,22243,5 HOOK HANGER RED MAGIC TOADSTOOL,12,12/5/2010 11:57,1.65,12567,France,19.8
537065,22467,GUMBALL COAT RACK,6,12/5/2010 11:57,2.55,12567,France,15.3
537065,22318,FIVE HEART HANGING DECORATION,6,12/5/2010 11:57,2.95,12567,France,17.7
537065,21195,PINK  HONEYCOMB PAPER BALL ,6,12/5/2010 11:57,2.1,12567,France,12.6
537065,20725,LUNCH BAG RED RETROSPOT,10,12/5/2010 11:57,1.65,12567,France,16.5
537065,20726,LUNCH BAG WOODLAND,20,12/5/2010 11:57,1.65,12567,France,33
537065,20728,LUNCH BAG CARS BLUE,10,12/5/2010 11:57,1.65,12567,France,16.5
537065,21559,STRAWBERRY LUNCH BOX WITH CUTLERY,6,12/5/2010 11:57,2.55,12567,France,15.3
537065,22326,ROUND SNACK BOXES SET OF4 WOODLAND ,6,12/5/2010 11:57,2.95,12567,France,17.7
537065,22352,LUNCH BOX WITH CUTLERY RETROSPOT ,6,12/5/2010 11:57,2.55,12567,France,15.3
537065,21555,CERAMIC STRAWBERRY TRINKET TRAY,6,12/5/2010 11:57,2.55,12567,France,15.3
537065,21533,RETROSPOT LARGE MILK JUG,3,12/5/2010 11:57,4.95,12567,France,14.85
537065,21539,RED RETROSPOT BUTTER DISH,3,12/5/2010 11:57,4.95,12567,France,14.85
537065,22423,REGENCY CAKESTAND 3 TIER,2,12/5/2010 11:57,12.75,12567,France,25.5
537065,84997A,GREEN 3 PIECE POLKADOT CUTLERY SET,6,12/5/2010 11:57,3.75,12567,France,22.5
537065,84997B,RED 3 PIECE RETROSPOT CUTLERY SET,6,12/5/2010 11:57,3.75,12567,France,22.5
537065,84997C,BLUE 3 PIECE POLKADOT CUTLERY SET,6,12/5/2010 11:57,3.75,12567,France,22.5
537065,84279P,CHERRY BLOSSOM  DECORATIVE FLASK,4,12/5/2010 11:57,3.75,12567,France,15
